id,tag
16480921,拎包入住
16480921,有電梯
16480921,隨時可遷入
16480921,可開伙
16480921,有車位
16497766,影片房屋
16497766,拎包入住
16497766,近商圈
16497766,有電梯
16497766,隨時可遷入
16497766,可開伙
16388479,拎包入住
16388479,有電梯
16388479,隨時可遷入
16388479,可開伙
16388479,可養寵物
16559378,影片房屋
16559378,新上架
16559378,拎包入住
16559378,近商圈
16559378,有電梯
16559378,隨時可遷入
16478404,屋主直租
16478404,近商圈
16478404,隨時可遷入
16478404,可開伙
16478404,可養寵物
16478404,免管理費
16412953,拎包入住
16412953,近商圈
16412953,有電梯
16412953,隨時可遷入
16412953,可開伙
14783787,拎包入住
14783787,近商圈
14783787,有電梯
14783787,隨時可遷入
14783787,可開伙
14783787,可養寵物
16441679,拎包入住
16441679,近商圈
16441679,隨時可遷入
16441679,可開伙
16441679,免管理費
16555197,新上架
16555197,拎包入住
16555197,近商圈
16555197,有電梯
16555197,隨時可遷入
16555197,可開伙
16497634,拎包入住
16497634,近商圈
16497634,有電梯
16497634,隨時可遷入
16497634,可開伙
16385856,拎包入住
16385856,近商圈
16385856,隨時可遷入
16385856,南北通透
16385856,免管理費
16562876,屋主直租
16562876,新上架
16562876,隨時可遷入
16562876,有車位
16464025,拎包入住
16464025,近商圈
16464025,隨時可遷入
16464025,可開伙
16464025,免服務費
16464025,免管理費
16553721,屋主直租
16553721,新上架
16553721,拎包入住
16553721,近商圈
16553721,有電梯
16553721,隨時可遷入
15317305,新上架
15317305,拎包入住
15317305,有電梯
15317305,隨時可遷入
15317305,可開伙
15317305,有車位
16478998,屋主直租
16478998,近商圈
16478998,有電梯
16478998,隨時可遷入
16478998,可開伙
16478998,可養寵物
16331252,拎包入住
16331252,近商圈
16331252,有電梯
16331252,隨時可遷入
16331252,可開伙
16331252,有車位
16537305,新上架
16537305,拎包入住
16537305,近商圈
16537305,有電梯
16537305,隨時可遷入
16537305,可開伙
16561805,屋主直租
16561805,新上架
16561805,拎包入住
16561805,近商圈
16561805,有電梯
16561805,隨時可遷入
16476622,拎包入住
16476622,近商圈
16476622,隨時可遷入
16476622,可開伙
16476622,可養寵物
16475528,拎包入住
16475528,近商圈
16475528,有電梯
16475528,隨時可遷入
16475528,可開伙
16475528,有車位
16516081,拎包入住
16516081,近商圈
16516081,有電梯
16516081,隨時可遷入
16516081,可開伙
16516081,可養寵物
16492754,拎包入住
16492754,隨時可遷入
16492754,有車位
16476075,拎包入住
16476075,有電梯
16476075,隨時可遷入
16476075,可開伙
16476075,免服務費
16482278,拎包入住
16482278,有電梯
16482278,隨時可遷入
16482278,可開伙
16482278,有車位
16482278,免服務費
16545772,新上架
16545772,拎包入住
16545772,有電梯
16545772,隨時可遷入
16545772,可開伙
16545772,有車位
16552568,新上架
16552568,拎包入住
16552568,有電梯
16552568,隨時可遷入
16552568,可開伙
16552568,有車位
16413771,屋主直租
16413771,拎包入住
16413771,隨時可遷入
16543712,新上架
16543712,拎包入住
16543712,近商圈
16543712,有電梯
16543712,隨時可遷入
16543712,可開伙
16543939,新上架
16543939,拎包入住
16543939,近商圈
16543939,隨時可遷入
16543939,可開伙
16543939,免管理費
16517500,拎包入住
16517500,近商圈
16517500,有電梯
